3/2/2025 13:34 --> Pridaný termín: 2025-02-05 15:36, 200 min
3/2/2025 13:34 --> Zmazaný termín: 2025-02-05 15:36, 200 min
3/2/2025 13:36 --> Pridaný termín: 2025-02-10 12:20, 200 min
3/2/2025 13:36 --> Pridaný termín: 2025-02-07 20:20, 1200 min
3/2/2025 13:36 --> Zmazaný termín: 2025-02-07 20:20, 1200 min
3/2/2025 13:36 --> Zmazaný termín: 2025-02-10 12:20, 200 min
3/2/2025 13:38 --> Pridaný termín: 2025-02-07 20:20, 1200 min
3/2/2025 13:38 --> Pridaný termín: 2025-02-07 20:20, 1200 min
3/2/2025 13:38 --> Pridaný termín: 2025-02-07 20:20, 1200 min
3/2/2025 13:38 --> Pridaný termín: 2025-02-07 20:20, 1200 min
3/2/2025 13:38 --> Zmazaný termín: 2025-02-07 20:20, 1200 min
3/2/2025 13:38 --> Zmazaný termín: 2025-02-07 20:20, 1200 min
3/2/2025 13:38 --> Zmazaný termín: 2025-02-07 20:20, 1200 min
3/2/2025 13:46 --> Pridaný termín: 2025-02-07 20:20, 1200 min
3/2/2025 13:46 --> Pridaný termín: 2025-02-07 20:20, 1200 min
3/2/2025 13:46 --> Rezervovaný termín: ID 35, Email: matus.stanko18@gmail.com
3/2/2025 13:55 --> Rezervovaný termín: ID 39, Email: matus.stanko18@gmail.com
3/2/2025 13:59 --> Rezervovaný termín: ID 40, Email: ahoj
3/2/2025 14:50 --> Rezervovaný termín: ID 51, Email: matus.stanko18@gmail.com
6/2/2025 15:51 --> Rezervovaný termín: ID 41, Email: matus.stanko18@gmail.com
